model,f1,precision,recall,avg_time_sec,avg_cost_usd,count,final_score
gemini_2_flash,0.9446212121212122,0.95,0.9458333333333334,1.5894638359546662,2.8307500000000003e-05,40,0.9446212121212122
gpt4o_mini,0.8122222222222224,0.83125,0.800357142857143,1.3143250107765199,3.561e-05,40,0.8122222222222224
mistral_small_24b,0.7621897546897547,0.7518452380952381,0.7830952380952381,1.8982024550437928,2.3993250000000003e-05,40,0.7621897546897547
gpt4o,0.7566558441558442,0.75625,0.7583333333333334,1.0505987584590912,0.0006527500000000001,40,0.7566558441558442
